id,Annotated tweet,,classification,,,,,,,
1,<e>Obama</e> has to maintain his professionalism throughout this entire campaign...very strong individual!,,_TEST_,,,,,,,
2,<e>Obama</e> went into the debate swinging and came out with a bang #Good Job President!!! #VoteObama,,_TEST_,,,,,,,
3,Ditto. I started @247LS 4 years ago. RT @bmorrissey: I work for a small business. We started during <e>Obama</e>'s term and now have 14 employees.,,_TEST_,,,,,,,
4,"I absolutely love <e>Obama</e>'s view in <a>immigration</a>, he really tries to sympathize, yet still take care of the issue.",,_TEST_,,,,,,,
5,I'm agreeing completely with <e>Obama</e>'s stance on <a>immigration</a>. Let's go after criminals not students or families. #debate,,_TEST_,,,,,,,
6,<e>Obama</e>'s <a>smile</a> makes me happy.,,_TEST_,,,,,,,
7,Hahahahahaahahha<e> Obama</e>'s <a>rebuttal</a> got actual crowd reaction. Ballgame,,_TEST_,,,,,,,
8,"If you think the economy has gotten worse during <e>Obama</e>'s <a>term</a>, please crawl out from under that rock. The recession has been over for while",,_TEST_,,,,,,,
9,<e>Obama</e>'s <a>debate performance</a> tonight: about 1000000x better than the first one.,,_TEST_,,,,,,,
10,I like the fact that it's not within <e>Obama</e>'s comfort zone to be rude.,,_TEST_,,,,,,,
11,President <e>Obama</e>'s <a>policies</a> HAS NOT created any problems.. but he INHERITED these we are debating about! from a previous administration.,,_TEST_,,,,,,,
12,Loving <e>Obama</e>'s <a>defense of immigration</a>.,,_TEST_,,,,,,,
13,<e>Obama</e>'s <a>haircut</a> is looking niiiiiice,,_TEST_,,,,,,,
14,Love President <e>Obama</e>'s extemporaneous <a>style of speaking</a> - so conversational.. As if he's speaking directly to you! #substance,,_TEST_,,,,,,,
15,Look at <e>Obama</e>'s <a>walk</a> and how he sits in his chair man....Nobody else is smooth like that..Obama was a player in his younger days lol,,_TEST_,,,,,,,
16,irrroc: <e>Obama</e>'s <a>spending</a> was necessary to stop us from entering into another depression because Bush put us on the brink of one,,_TEST_,,,,,,,
17,<e>Obama</e>'s on his top <a>game</a> tonight. #townhalldebate,,_TEST_,,,,,,,
18,The debate isn't even over and <e>Obama</e>'s <a>stats</a> are already going back up.,,_TEST_,,,,,,,
19,<e>Obama</e>'s <a>response</a> was just perfect #justsaying,,_TEST_,,,,,,,
20,"Wow, <e>Obama</e>'s <a>response</a> was angry and pointed. The Pres is kicking ass! #debate",,_TEST_,,,,,,,
21,<e>Obama</e>'s <a>answer</a> to the Libya attacks was just perfect,,_TEST_,,,,,,,
22,JonShuman Sure I bet he was. My dad now has a secure job due to <e>Obama</e>'s support for the 4 billion dollars for the new StratCom building.,,_TEST_,,,,,,,
23,RT @bigjimtx: I appreciate <e>Obama</e>'s pimp <a>walk</a> as he strolls away from that stool #debate,,_TEST_,,,,,,,
24,Yes <e>obama</e>'s <a>main focus</a> is school. That what you guys need to understand we are the future right now,,_TEST_,,,,,,,
25,BUT I know I'm <a>voting</a> for<e> Obama</e>....&amp; not because he's black like most of y'all 😒. Dude did what he said he would for the most part,,_TEST_,,,,,,,
26,"<e>BarackObama</e>I've got Your Back, Obama for president 2012",,_TEST_,,,,,,,
27,I love <e>Obama</e>. #truth,,_TEST_,,,,,,,
28,I hate when people say <e>Obama </e>hasn't done anything for us. You can't fix yeeearrrrs of damage in one term.  #givehimachance,,_TEST_,,,,,,,
29,I want my next boyfriend to <a>look</a> like <e>Obama</e> 👍😻😘❤❤❤,,_TEST_,,,,,,,
30,"Yes <e>Obama</e>is an idealist, but he has made <a>improvements &amp; much of his policies</a> haven't been successful due to congress &amp; that 1% #Debate2012",,_TEST_,,,,,,,
31,I'm voting for <e>Obama</e> That's my president,,_TEST_,,,,,,,
32,<e>Obama</e> has<a> done better job </a>and yeah he needs more time because he came into his term in a hell of a mess before he's term #Obama2012,,_TEST_,,,,,,,
33,#<e>Obama</e> wants to <a>fix the broken #immigration system</a>for those standing on the line and enforce border patrol. #ImHereIVote #Undocumented,,_TEST_,,,,,,,
34,"President <e>Obama</e> may not be the most perfect man in the world, but I do believe 100% that he is really trying to<a> make a change in our country</a>",,_TEST_,,,,,,,
35,<e>Obama</e>'s <a>hair</a> is LAID right now. I wonder if he sleeps with a durag on?,,_TEST_,,,,,,,
36,I liked <e>Obama</e>'s response to that manufacturing question. #PresidentialDebate2012,,_TEST_,,,,,,,
37,I agree with <e>Obama</e>'s last <a>statement</a> on high wages and higher skilled jobs,,_TEST_,,,,,,,
38,<e>Obama</e>'s <a>last words</a> were on POINT.,,_TEST_,,,,,,,
39,<e>Obama</e>'s <a>closing statement</a> may have been the best 2 minutes he's had this campaign. Boom.,,_TEST_,,,,,,,
40,<e>Obama</e>'s <a>ending</a> just killllled it. #debates,,_TEST_,,,,,,,
41,Voting because I agree with <e>Obama</e>'s views on subjects most important to me and my near future. Not because I'm an<e> Obama</e> fan.,,_TEST_,,,,,,,
42,"Probably the best debate of <e>Obama</e>'s career, a U-turn from first debate - @Maddow",,_TEST_,,,,,,,
43,<a>Best performance</a> of<e> Obama</e>'s presidency,,_TEST_,,,,,,,
44,<e>Obama</e>'s ansr to the lst ques was phenomenal Equal opportunity is key to<a> building an economy built to last and moving our country</a>#forward,,_TEST_,,,,,,,
45,So pleased with<e> Obama</e>'s <a>performance</a> tonight!,,_TEST_,,,,,,,
46,Absolutely love <e>Obama</e>'s <a>passion</a>.,,_TEST_,,,,,,,
47,President <e>Obama</e>'s <a>heart and brilliance</a> shines even brighter!!!,,_TEST_,,,,,,,
48,"What a great debate today! Am enjoying President <e>Obama</e>'s come back. He's been <a>direct, specific, has created empathy</a> and has shown control.",,_TEST_,,,,,,,
49,This HD TV Let's me see how Flawless and Smooth <e>Obama</e>'s <a>Skin</a> is... #BlakDontCrack,,_TEST_,,,,,,,
50,We all know Obama's strongest part of his presidency was foreign policy. <e>Obama</e> should win the next debate handily.,,_TEST_,,,,,,,
51,<e>Obama</e>'s <a>shoes</a> are well polished.,,_TEST_,,,,,,,
52,My dad lost his job at the end Bush's turn and got a amazing one in the beginning of <e>Obama</e>'s. I'm not ready for change yet.,,_TEST_,,,,,,,
53,<e>Obama</e>'s <a>swag</a> is through the roof,,_TEST_,,,,,,,
54,Really impressed with President <e>Obama</e>'s <a>work</a> tonight. Very impressed.,,_TEST_,,,,,,,
55,One of the things I liked most about <e>Obama</e>'s debate was he stood his ground and when it came down to religion he didn't speak on his,,_TEST_,,,,,,,
56,"I am in support in <e>Obama</e>'s <a>healthcare plan</a>, as there are 48.6 million uninsured people in this country, including myself",,_TEST_,,,,,,,
57, Jason Thompson On <e>Obama</e>: 'We Have The Opportunity' To Send The President <a>Back To Kenya</a> (VIDEO) ,,_TEST_,,,,,,,
58,<a>Countdown</a> To http://t.co/LbiZXx1T #<a>countdown</a> <e>Obama</e>'s final days,,_TEST_,,,,,,,
59, @BretBaier just saw <e>Obama</e> <a>green America</a>! Your reporting was amazing! Great job!,,_TEST_,,,,,,,
60, i do <a>vote</a> for <e>Obama</e> tho,,_TEST_,,,,,,,
61, <a>Sacbee</a> - Endorsements: Barack <e>Obama</e> for president http://t.co/irGyItPZ,,_TEST_,,,,,,,
62, i think <e>Obama</e> is <a>winning</a> :D,,_TEST_,,,,,,,
63, Its Time For A Change  A Change In Me ! -<e>Obama</e> ! #<a>Vote</a><e>Obama</e>,,_TEST_,,,,,,,
64, In the current political dispensation President #<e>obama</e> is ably <a>qualified</a> <a>credible</a> pragmatic diplomatic and capable 2 b POTUS,,_TEST_,,,,,,,
65, #LarryKingColumn Myron Cohen tells me that Florida is sure to go for <e>obama</e>. This man's auidence is still in <a>Florida</a> gang!,,_TEST_,,,,,,,
66, President <e>obama</e> you always say that its not about you but us lets go Mr President The Country is depending on you we need <a>4 more years</a>,,_TEST_,,,,,,,
67, !!!!! RT @Dmagic716 RT @PopThatTUNEchee <e>obama</e> president for <a>4 more years</a>  the lakers the 2013 champions  next year is gonna be great (:,,_TEST_,,,,,,,
68, <e>obama</e> </a>leads</a> Mitt in <a>MA</a> by double digits! http://t.co/Y1r41MFo,,_TEST_,,,,,,,
69, Unless Texas ratifies <a>gay</a> marriage if <e>obama</e> wins.,,_TEST_,,,,,,,
70, <e>obama</e> Has Nothing to Do with #<a>Sensata</a>. Fox is Referring to a <a>State Retirement Fund</a> He Had as State Sen. from 97-04 BEFORE Bain Took Over,,_TEST_,,,,,,,
71, @hoosierclinger <e>obama</e> Has NO Investment in #<a>Sensata</a>. He Had <a>State Retirement Plan</a> from 97-04 w/ Shares,,_TEST_,,,,,,,
