id,Annotated tweet,,classification,,
1,"<e>Romney</e> got 3 less minutes and had to debate Candy Crowley,  he still out performed both of them.",,_TEST_,,
2,"<e>Mitt  </e>is beating him UP!  on his record, on credibility, on character!!!",,_TEST_,,
3,I actually like  <e>Romney </e>'s response to immigration.,,_TEST_,,
4,"Just for that <a>immigration statement </a>that  <e>Romney  </e>answered, if I was 18, was enough to get my vote. 👍",,_TEST_,,
5,This man  <e>Romney  </e>is tearing this dude up on <a>economics</a>,,_TEST_,,
6,"<e>Romney  </e>had less to prove, given the last debate. But he didn't back down an inch from the President.",,_TEST_,,
7,"<e>Romney </e>- he comes off as a dumbass, but I love his <a>plan</a> for small and large business owners, and has a great idea on <a>American manufacturing</a>",,_TEST_,,
8,Great <a>closing</a> by  <e>Romney </e>. Summed it all up very well. #debates,,_TEST_,,
9,Just ready for  <e>Romney </e> to become president lol,,_TEST_,,
10,"Get him on his trampling on the Constitution, <e>Mitt</e>. Please",,_TEST_,,
11,Go <e>Romney</e>!!! I'm tired of all this <a>immigration</a> shit!!!,,_TEST_,,
12,<e>Romney</e> is the shit you people are crazy,,_TEST_,,
13,<e>ROMNEY</e> IS A BEAST. all his ideas and policies are great. all immigrants have to have a green card or be deported and crack down on them!,,_TEST_,,
14,Way to stick to your guns on illegal immigration #<e>Romney</e> . This country needs a president that care about securing our borders #debate,,_TEST_,,
15,#debates  <e>Romney</e> is doing as well as he can on immigration.  But his <a>answer</a> on anchor babies getting a path to citizenship is a good one,,_TEST_,,
16,<e>Romney</e> just solidified his claim for why I'll be voting for him with his take on immigration #Romney2012,,_TEST_,,
17,So <e>Romney</e> wants to pass the @DreamAct.. Its one thing he has said that I am loving tonight #debates,,_TEST_,,
18,<e>Romney</e> doing a terrific job at #Debate,,_TEST_,,
19,<e>Romney</e> for President,,_TEST_,,
20,#<e>Romney</e> explaining things even better than 1st #debate. #connecting,,_TEST_,,
21,"<e>Romney</e> needs to be given a chance, he's won the last debate and he's on top of this one",,_TEST_,,
22, #<e>Romney</e> #<e>Romney</e> #<e>Romney</e>,,_TEST_,,
23, #<e>Romney</e>,,_TEST_,,
24,<e> Romney</e>/Ryan <a>Believe in America</a>! #whatsurtag,,_TEST_,,
25, Mitt <e>Romney</e> that's my guy…,,_TEST_,,
26, #WhyDoYouThinkItsOkayTo <a>vote</a> for <e>Romney</e>,,_TEST_,,
27, â˜›The #YouthVote is Waking Up! Pew Research Center: <e>Romney</e> gains +10 points in favorability among <a>18-29y</a>/oâ˜š ,,_TEST_,,
28, Polls don't mean anything but...RT @WestWingReport Gallup: <e>Romney</e>'s national <a>lead</a> has widened to 4 points.<e> Romney</e> 50,,_TEST_,,
29, #debates Go <e>Romney</e>,,_TEST_,,
30,<e> Romney</e> needs to display the same energy continue to redefine who is.  And attack the current <a>economic conditions</a>.  Be natural.,,_TEST_,,
31, I think with another strong performance tonight <e>Romney</e> will <a>win</a>.,,_TEST_,,
32, /r/politics [removed] Most polls indicate <e>Romney</e> in a slight <a>lead</a> (poll) with about 47% of votes....must be the 47% ... http://t.co/cHyqdEPA,,_TEST_,,
33,<e> Romney</e> will <a>win</a>. Tell it here: http://t.co/pIKQRbsW and vote !!!http://t.co/UTSZ76R6,,_TEST_,,
34, I'm going to move to Canada if Mitt <e>Romney</e> <a>wins</a>,,_TEST_,,
35,<e> Romney</e> is <a>winning</a>? GOOD.,,_TEST_,,
36, Morgan for Mitt: CNN Star Says <e>Romney</e> 'Might Just <a>Save America</a>' http://t.co/xEAmcS1o #ohio #columbus #lancaster #akron #abc,,_TEST_,,
37, Bainport to <e>Romney</e>: Save Our <a>Jobs</a>! #1u #p2 #labor #Sensata http://t.co/XwXHsFQm,,_TEST_,,
38, @FightForJobs <a>vote</a> for <e>romney</e> not the socialist pig,,_TEST_,,
39, Read up on #<e>romney</e>'s <a>incredible</a> plan to <a>cut taxes</a> by $5 trillion! http://t.co/wIYnelrI,,_TEST_,,
40, <e>romney</e>'s <a>Tax Plan</a>. <a>Brilliant</a>. http://t.co/7PJNgWqE,,_TEST_,,
41, Mitt #<e>romney</e>'s tax plan adds up to a #tax hike for the <a>middle class</a>. Here's the math:  http://t.co/lhMwzn29,,_TEST_,,
42, Freeport City Council Votes Unanimously to Call On Mitt <e>romney</e> to Save #<a>Sensata Jobs</a>! http://t.co/54iDUiId via @youtube #FightForJobs,,_TEST_,,
43, @Lynx60C Yes!! <e>romney</e> better <a>win</a>!!! ;D,,_TEST_,,
44, c'mon <e>romney</e>!!!!,,_TEST_,,
45, Lmfao. This is amazing. #<e>romney</e> http://t.co/yUhor12S,,_TEST_,,
46, It all makes sense now.  http://t.co/gCLrhE9H #<e>romney</e>,,_TEST_,,
47," ""@Kalekeni_K: I'm a <e>romney</e> man"" eeh!!",,_TEST_,,
48, <e>romney</e> finally released his <a>tax plan</a> & it's even better than I expected! Most <a>honest</a> from any politician to date: http://t.co/gMVlU15C,,_TEST_,,
49, I'm so excited to watch the <a>Presidential debate</a> tonight! #<e>romney</e>,,_TEST_,,
50,<a> Swing States</a> poll: <a>Women</a> push <e>romney</e> into lead http://t.co/dNpbSYVV via @USAToday,,_TEST_,,
51, This Ohio Mom is <a>Voting</a> for Mitt <e>romney</e> http://t.co/5MrJkXeN via @akronohiomoms,,_TEST_,,
52, via Gallup: <e>romney</e> expands <a>lead</a> among <a>likely voters</a> now up by four http://t.co/jQ8uiv9Iâ€,,_TEST_,,
53," @Mitt<e>romney</e> best of luck tonight. We are very proud of you and look forward to ""<a>President</a> Mitt <e>romney</e>""http://t.co/4wqb01T0",,_TEST_,,
54, American Voices: <a>Ross Perot</a> Endorses <e>romney</e> http://t.co/S66ayTCP #TheOnion,,_TEST_,,
55, <a>Swing States</a> poll: <a>Women</a> push <e>romney</e> into lead> http://t.co/tu5hmVDj Awwwww :( #Sux2bBarry after a debate.#tcot #p2@calickizzle,,_TEST_,,
56, Sen. Rob Portman: <e>romney</e> â€˜Probablyâ€™ Could <a>Win</a> Election Without Ohio â€“ KKOH,,_TEST_,,
57, @aaronmiller19 I want mitt <e>romney</e> for <a>president</a>.,,_TEST_,,
58, U want a pres that doesnt want to bring troops home fr <a>Afghanistan</a> vote fr <e>romney</e>. U want a pres who brings troops home by'14 vote fr <e>obama</e>,,_TEST_,,
59, The #<e>romney</e>Recovery starts on November 6. Let's <a>elect</a> <e>romney</e> to give <a>businesses</a> the confidence and certainty they need to start hiring again,,_TEST_,,
60, @HeyGeno @meredithfo Think abt GE and BHO. <e>romney</e>.He knows how to <a>make money</a>. your Preez knows how to Squander money,,_TEST_,,
61, I'm a republican <a>votin'</a> for Mitt <e>romney</e>,,_TEST_,,
62, Gallupâ€™s Likely Voters Poll has <e>romney</e> <a>Winning</a> 50-46. Could this be a game-changer for the election? http://t.co/vgwl1Xry #Election2012,,_TEST_,,
63, <e>romney</e> surges among rural voters in <a>swing states</a> http://t.co/8UEQStp8 <a>SEATTLE</a> POLITICS,,_TEST_,,
64, FINALLY !!! <e>romney</e>'s <a>Tax Plan</a>. THIS IS BIG #NEWS !!! http://t.co/GshYLFK0 #<e>romney</e> #TaxPlan,,_TEST_,,
65, Poll: <e>romney</e> Leads by 22 in Rural <a>Swing Counties</a> http://t.co/kwZaRcO3 #RWNJAlert,,_TEST_,,
66,<a> Victory Rally</a> with Mitt <e>romney</e> And Country Music Star <a>Lee Greenwood</a> In Chesapeake Virginia On Wednesday,,_TEST_,,
67,<a>Good luck</a> and God bless Mitt Romney #CantAfford4More #MittYouGotThis #RomneyRyan2012 #debate2012,,_TEST_,,
68,@ceceladyceo @blackrepublican @<e>romney</e> ... MUCH better than under the <a>current administration</a>.,,_TEST_,,
69,@theblaze How can <e>Romney</e> <a>keep from winning</a> tonight with the <a>truth and all the prayers being offered</a> don his behalf?,,_TEST_,,
70,Why are you afraid of #<a>Freedom </a>&amp; #Liberty? @realDonaldTrump #GaryJohnson pulling votes from @Mitt<e>Romney</e> <a>Don't waste your vote</a> <e>Obama</e> must go!,,_TEST_,,
71,"@DRUDGE_REPORT CEO's, millionaires and billionaires <a>donate</a> to <e>Romney</e> and then opine on the election.",,_TEST_,,
72,@lLoveCoffee @mitt<e>Romney</e> for<a> sure</a>. The USA can't take 4 more of <e>Obama</e>. #BadEconomy #Debt #unemployment #HighGasoline 46.7 on food stamps!!!,,_TEST_,,
73,Letter from Ex-MRS. POCHO: â€˜All employees must <a>vote</a> for <e>Romney</e>â€™ http://t.co/UXTK0Wq3 via @PochoDotCom<,,_TEST_,,
74,@NewsNinja2012 <e>Obama</e> has <a>divided this country</a>. It is so sad to see this but it makes me more <a>determined</a> than ever to vote for <e>Romney</e>,,_TEST_,,
75,"@DLoesch Boehlert claiming the <a>media</a> has been in the tank for <e>Romney</e> is the equivalent of Henry Winkler, a pair of skis and a shark tank.",,_TEST_,,
76,"@KeithKingbay I'm voting for <e>Romney</e>/ Ryan, because I'm just flat out tired of <a>women having rights</a>.",,_TEST_,,
77,@CommonSensePre1 TYSM for the followâ£ Now following back! Go <e>Mitt</e> tonite!,,_TEST_,,
78,-@hollybdc's incredible piece about <e>Romney</e>'s hands-on <a>campaign style<a> is a must read: http://t.co/UPs7KlHy,,_TEST_,,
79,"@MarkRMatthews ..and <e>Romney</e> will win again tonight.  A man with the <a>truth</a> on his side, and divine providence can't help but win!",,_TEST_,,
80,"@AdriannaLunaxxx   Like the <e>Romney</e> <a>campaign</a> says, the government needs to stay out of businesses way",,_TEST_,,
81,<a>Women</a> going huge 4 <e>Romney</e>; we luv alpha males! My latest pc atWashTimes http://t.co/W8H7RscG @Team<e>Romney</e> @TwitchyPolitics@RedState#tcot#war,,_TEST_,,
82,"@BreitbartNews Gibbs, you can wish in one hand, and sh**!in the other, wishing don't make it so. <a>FACTS</a> are still on <e>Romney</e>'s side.",,_TEST_,,
83,"Time short,<a> women abandoning</a> <e>Obama</e>, NYT goes all in: 'A <e>Romney</e>-Ryan <a>victory</a> could result in re-criminalizing abortion in much of America.'",,_TEST_,,
